date,P_Kweek_-2_Kday_-4_ETE_60_ORD_61_EXT_72_E2Ekor_69_EXTkor_59_DIFF_26,a,b,c,d,e
Wed Apr 15 06:00:00 UTC 2026,890.9148099999875,null,null,null,null,1116.3272187591117
Wed Apr 15 07:00:00 UTC 2026,936.9148099999875,null,null,null,null,1119.0024012408633
Wed Apr 15 08:00:00 UTC 2026,947.9148099999875,null,null,null,null,1121.677583722615
Wed Apr 15 09:00:00 UTC 2026,807.9148099999875,null,null,null,null,1124.352766204367
Wed Apr 15 10:00:00 UTC 2026,922.9148099999875,null,null,null,null,1127.0279486861189
Wed Apr 15 11:00:00 UTC 2026,888.9148099999875,null,null,null,null,1129.7031311678707
Wed Apr 15 12:00:00 UTC 2026,1070.9148099999875,null,null,null,null,1132.3783136496227
Wed Apr 15 13:00:00 UTC 2026,993.9148099999875,null,null,null,null,1135.0534961313745
Wed Apr 15 14:00:00 UTC 2026,935.9148099999875,null,null,null,null,1137.7286786131262
Wed Apr 15 15:00:00 UTC 2026,1175.9148099999875,null,null,null,null,1140.403861094878
Wed Apr 15 16:00:00 UTC 2026,1044.9148099999875,null,null,null,null,1143.0790435766298
Wed Apr 15 17:00:00 UTC 2026,992.9148099999875,null,null,null,null,1145.7542260583818
Wed Apr 15 18:00:00 UTC 2026,926.9148099999875,null,null,null,null,1148.4294085401334
Wed Apr 15 19:00:00 UTC 2026,1128.9148099999875,null,null,null,null,1151.1045910218852
Wed Apr 15 20:00:00 UTC 2026,1057.9148099999875,null,null,null,null,1153.779773503637
Wed Apr 15 21:00:00 UTC 2026,1155.9148099999875,null,null,null,null,1156.454955985389
Wed Apr 15 22:00:00 UTC 2026,1244.9148099999875,null,null,null,null,1159.1301384671406
Wed Apr 15 23:00:00 UTC 2026,1111.9148099999875,null,null,null,null,1161.8053209488926
Thu Apr 16 00:00:00 UTC 2026,991.9148099999875,null,null,null,null,1164.4805034306444
Thu Apr 16 01:00:00 UTC 2026,927.9148099999875,null,null,null,null,1167.1556859123962
Thu Apr 16 02:00:00 UTC 2026,937.9148099999875,null,null,null,null,1169.8308683941482
Thu Apr 16 03:00:00 UTC 2026,947.9148099999875,null,null,null,null,1172.5060508759
Thu Apr 16 04:00:00 UTC 2026,939.9148099999875,null,null,null,null,1175.1812333576518
Thu Apr 16 05:00:00 UTC 2026,917.9148099999875,null,null,null,null,1177.8564158394036
Thu Apr 16 06:00:00 UTC 2026,899.9148099999875,null,null,null,null,1180.5315983211553
Thu Apr 16 07:00:00 UTC 2026,993.9148099999875,null,null,null,null,1183.2067808029071
Thu Apr 16 08:00:00 UTC 2026,1033.9148099999875,null,null,null,null,1185.881963284659
Thu Apr 16 09:00:00 UTC 2026,879.9148099999875,null,null,null,null,1188.5571457664107
Thu Apr 16 10:00:00 UTC 2026,869.9148099999875,null,null,null,null,1191.2323282481627
Thu Apr 16 11:00:00 UTC 2026,1050.9148099999875,null,null,null,null,1193.9075107299145
