date,P_Kweek_78_Kday_-20_ETE_64_ORD_67_EXT_82_E2Ekor_80_EXTkor_63_DIFF_26,a,b,c,d,e
Sun Apr 12 00:00:00 UTC 2026,-2036.2806499999715,null,-2218.5006499999713,null,null,null
Sun Apr 12 01:00:00 UTC 2026,-2036.2806499999715,null,-2241.680649999971,null,null,null
Sun Apr 12 02:00:00 UTC 2026,-2036.2806499999715,null,-2264.8606499999714,null,null,null
Sun Apr 12 03:00:00 UTC 2026,-2036.2806499999715,null,-2288.0406499999717,null,null,null
Sun Apr 12 04:00:00 UTC 2026,-2036.2806499999715,null,-2311.2206499999716,null,null,null
Sun Apr 12 05:00:00 UTC 2026,-2036.2806499999715,null,-2334.4006499999714,null,null,null
Sun Apr 12 06:00:00 UTC 2026,-2036.2806499999715,null,-2357.5806499999717,null,null,null
Sun Apr 12 07:00:00 UTC 2026,-2036.2806499999715,null,-2380.7606499999715,null,null,null
Sun Apr 12 08:00:00 UTC 2026,-2036.2806499999715,null,-2403.9406499999714,null,null,null
Sun Apr 12 09:00:00 UTC 2026,-2036.2806499999715,null,-2427.1206499999716,null,null,null
Sun Apr 12 10:00:00 UTC 2026,-2036.2806499999715,null,-2450.3006499999715,null,null,null
Sun Apr 12 11:00:00 UTC 2026,-2036.2806499999715,null,-2473.480649999972,null,null,null
Sun Apr 12 12:00:00 UTC 2026,-2036.2806499999715,null,-2496.660649999971,null,null,null
Sun Apr 12 13:00:00 UTC 2026,-2036.2806499999715,null,-2519.8406499999714,null,null,null
Sun Apr 12 14:00:00 UTC 2026,-2036.2806499999715,null,-2543.0206499999713,null,null,null
Sun Apr 12 15:00:00 UTC 2026,-2036.2806499999715,null,-2566.2006499999716,null,null,null
Sun Apr 12 16:00:00 UTC 2026,-2036.2806499999715,null,-2589.3806499999714,null,null,null
Sun Apr 12 17:00:00 UTC 2026,-2036.2806499999715,null,-2612.5606499999717,null,null,null
Sun Apr 12 18:00:00 UTC 2026,-2036.2806499999715,null,-2635.7406499999715,null,null,null
Sun Apr 12 19:00:00 UTC 2026,-2036.2806499999715,null,-2658.9206499999714,null,null,null
Sun Apr 12 20:00:00 UTC 2026,-2036.2806499999715,null,-2682.1006499999717,null,null,null
Sun Apr 12 21:00:00 UTC 2026,-2805.2806499999715,null,-2705.2806499999715,null,null,null
Sun Apr 12 22:00:00 UTC 2026,-2284.2806499999715,null,null,null,null,null
Sun Apr 12 23:00:00 UTC 2026,-2447.2806499999715,null,null,null,null,null
Mon Apr 13 00:00:00 UTC 2026,-2421.2806499999715,null,null,null,null,null
Mon Apr 13 01:00:00 UTC 2026,-2457.2806499999715,null,null,null,null,null
Mon Apr 13 02:00:00 UTC 2026,-2211.2806499999715,null,null,null,null,null
Mon Apr 13 03:00:00 UTC 2026,-2003.2806499999715,null,null,null,null,null
Mon Apr 13 04:00:00 UTC 2026,-1711.2806499999715,null,null,null,null,null
Mon Apr 13 05:00:00 UTC 2026,-1690.2806499999715,null,null,null,null,null
Mon Apr 13 06:00:00 UTC 2026,-1766.2806499999715,null,null,null,null,null
Mon Apr 13 07:00:00 UTC 2026,-1434.2806499999715,null,null,null,null,null
Mon Apr 13 08:00:00 UTC 2026,-1326.2806499999715,null,-1226.2806499999715,null,null,null
Mon Apr 13 09:00:00 UTC 2026,-1534.2806499999715,null,-1419.7806499999715,null,null,null
Mon Apr 13 10:00:00 UTC 2026,-1732.2806499999715,null,-1613.2806499999715,null,null,null
Mon Apr 13 11:00:00 UTC 2026,-1829.2806499999715,null,-1806.7806499999715,null,null,null
Mon Apr 13 12:00:00 UTC 2026,-2100.2806499999715,null,-2000.2806499999715,null,null,null
Mon Apr 13 13:00:00 UTC 2026,-1686.2806499999715,null,null,null,null,null
Mon Apr 13 14:00:00 UTC 2026,-1905.2806499999715,null,null,null,null,null
Mon Apr 13 15:00:00 UTC 2026,-1683.2806499999715,null,null,null,null,null
Mon Apr 13 16:00:00 UTC 2026,-1641.2806499999715,null,null,null,null,null
Mon Apr 13 17:00:00 UTC 2026,-2618.2806499999715,null,null,null,null,null
Mon Apr 13 18:00:00 UTC 2026,-1749.2806499999715,null,null,null,null,null
Mon Apr 13 19:00:00 UTC 2026,-1897.2806499999715,null,null,null,null,null
Mon Apr 13 20:00:00 UTC 2026,-1377.2806499999715,null,-1277.2806499999715,null,null,null
Mon Apr 13 21:00:00 UTC 2026,-1568.2806499999715,null,-1418.5306499999715,null,null,null
Mon Apr 13 22:00:00 UTC 2026,-1563.2806499999715,null,-1559.7806499999715,null,null,null
Mon Apr 13 23:00:00 UTC 2026,-1830.2806499999715,null,-1701.0306499999715,null,null,null
Tue Apr 14 00:00:00 UTC 2026,-1942.2806499999715,null,-1842.2806499999715,null,null,null
Tue Apr 14 01:00:00 UTC 2026,-1743.2806499999715,null,null,null,null,null
Tue Apr 14 02:00:00 UTC 2026,-1350.2806499999715,null,null,null,null,null
Tue Apr 14 03:00:00 UTC 2026,-1513.2806499999715,null,null,null,null,null
Tue Apr 14 04:00:00 UTC 2026,-1069.2806499999715,null,-969.2806499999715,null,null,null
Tue Apr 14 05:00:00 UTC 2026,-1293.2806499999715,null,-1055.7806499999715,null,null,null
Tue Apr 14 06:00:00 UTC 2026,-1302.2806499999715,null,-1142.2806499999715,null,null,null
Tue Apr 14 07:00:00 UTC 2026,-1015.2806499999715,null,-1228.7806499999715,null,null,null
Tue Apr 14 08:00:00 UTC 2026,-1415.2806499999715,null,-1315.2806499999715,null,null,null
Tue Apr 14 09:00:00 UTC 2026,-1069.2806499999715,null,null,null,null,null
Tue Apr 14 10:00:00 UTC 2026,-1044.2806499999715,null,null,null,null,null
Tue Apr 14 11:00:00 UTC 2026,-1239.2806499999715,null,null,null,null,null
Tue Apr 14 12:00:00 UTC 2026,-1346.2806499999715,null,null,null,null,null
Tue Apr 14 13:00:00 UTC 2026,-1046.2806499999715,null,-946.2806499999715,null,null,null
Tue Apr 14 14:00:00 UTC 2026,-1014.2806499999715,null,-1065.6139833333048,null,null,null
