date,P_Kweek_72_Kday_91_ETE_70_ORD_70_EXT_85_E2Ekor_83_EXTkor_71_DIFF_26,a,b,c,d,e
Thu Apr 09 05:00:00 UTC 2026,-1543.2433200000087,null,null,null,null,null
Thu Apr 09 06:00:00 UTC 2026,-1523.2433200000087,null,null,null,null,null
Thu Apr 09 07:00:00 UTC 2026,-1474.2433200000087,null,null,null,null,null
Thu Apr 09 08:00:00 UTC 2026,-1766.2433200000087,null,null,null,null,null
Thu Apr 09 09:00:00 UTC 2026,-1783.2433200000087,null,null,null,null,null
Thu Apr 09 10:00:00 UTC 2026,-1437.2433200000087,null,null,null,null,null
Thu Apr 09 11:00:00 UTC 2026,-1770.2433200000087,null,null,null,null,null
Thu Apr 09 12:00:00 UTC 2026,-1798.2433200000087,null,null,null,null,null
Thu Apr 09 13:00:00 UTC 2026,-1909.2433200000087,null,null,null,null,null
Thu Apr 09 14:00:00 UTC 2026,-1997.2433200000087,null,null,null,null,null
Thu Apr 09 15:00:00 UTC 2026,-1971.2433200000087,null,null,null,null,null
Thu Apr 09 16:00:00 UTC 2026,-1739.2433200000087,null,null,null,null,null
Thu Apr 09 17:00:00 UTC 2026,-1673.2433200000087,null,null,null,null,null
Thu Apr 09 18:00:00 UTC 2026,-1896.2433200000087,null,null,null,null,null
Thu Apr 09 19:00:00 UTC 2026,-1797.2433200000087,null,null,null,null,null
Thu Apr 09 20:00:00 UTC 2026,-1999.2433200000087,null,null,null,null,null
Thu Apr 09 21:00:00 UTC 2026,-2265.2433200000087,null,null,null,null,null
Thu Apr 09 22:00:00 UTC 2026,-1851.2433200000087,null,null,null,null,null
Thu Apr 09 23:00:00 UTC 2026,-1701.2433200000087,null,null,null,null,null
Fri Apr 10 00:00:00 UTC 2026,-1524.2433200000087,null,null,null,null,null
Fri Apr 10 01:00:00 UTC 2026,-968.2433200000087,null,null,null,null,null
Fri Apr 10 02:00:00 UTC 2026,-1164.2433200000087,null,null,null,null,null
Fri Apr 10 03:00:00 UTC 2026,-1319.2433200000087,null,null,null,null,null
Fri Apr 10 04:00:00 UTC 2026,-1178.2433200000087,null,null,null,null,null
Fri Apr 10 05:00:00 UTC 2026,-1306.2433200000087,null,null,null,null,null
Fri Apr 10 06:00:00 UTC 2026,-1370.2433200000087,null,null,null,null,null
Fri Apr 10 07:00:00 UTC 2026,-1601.2433200000087,null,null,null,null,null
Fri Apr 10 08:00:00 UTC 2026,-1275.2433200000087,null,null,null,null,null
Fri Apr 10 09:00:00 UTC 2026,-1459.2433200000087,null,null,null,null,null
Fri Apr 10 10:00:00 UTC 2026,-1409.2433200000087,null,null,null,null,null
Fri Apr 10 11:00:00 UTC 2026,-1552.2433200000087,null,null,null,null,null
Fri Apr 10 12:00:00 UTC 2026,-1787.2433200000087,null,null,null,null,null
Fri Apr 10 13:00:00 UTC 2026,-1652.2433200000087,null,null,null,null,null
Fri Apr 10 14:00:00 UTC 2026,-1827.2433200000087,null,null,null,null,null
Fri Apr 10 15:00:00 UTC 2026,-2076.2433200000087,null,-1976.2433200000087,null,null,null
Fri Apr 10 16:00:00 UTC 2026,-1971.2433200000087,null,-1963.1899866666754,null,null,null
Fri Apr 10 17:00:00 UTC 2026,-1912.2433200000087,null,-1950.136653333342,null,null,null
Fri Apr 10 18:00:00 UTC 2026,-1804.2433200000087,null,-1937.0833200000086,null,null,null
Fri Apr 10 19:00:00 UTC 2026,-1696.2433200000087,null,-1924.0299866666753,null,null,null
Fri Apr 10 20:00:00 UTC 2026,-1816.2433200000087,null,-1910.9766533333423,null,null,null
Fri Apr 10 21:00:00 UTC 2026,-1816.2433200000087,null,-1897.9233200000087,null,null,null
Fri Apr 10 22:00:00 UTC 2026,-1816.2433200000087,null,-1884.8699866666752,null,null,null
Fri Apr 10 23:00:00 UTC 2026,-1816.2433200000087,null,-1871.816653333342,null,null,null
Sat Apr 11 00:00:00 UTC 2026,-1816.2433200000087,null,-1858.7633200000087,null,null,null
Sat Apr 11 01:00:00 UTC 2026,-1816.2433200000087,null,-1845.7099866666754,null,null,null
Sat Apr 11 02:00:00 UTC 2026,-1816.2433200000087,null,-1832.656653333342,null,null,null
Sat Apr 11 03:00:00 UTC 2026,-1816.2433200000087,null,-1819.6033200000086,null,null,null
Sat Apr 11 04:00:00 UTC 2026,-1816.2433200000087,null,-1806.5499866666753,null,null,null
Sat Apr 11 05:00:00 UTC 2026,-1816.2433200000087,null,-1793.4966533333422,null,null,null
Sat Apr 11 06:00:00 UTC 2026,-1816.2433200000087,null,-1780.443320000009,null,null,null
Sat Apr 11 07:00:00 UTC 2026,-1816.2433200000087,null,-1767.3899866666754,null,null,null
Sat Apr 11 08:00:00 UTC 2026,-1816.2433200000087,null,-1754.336653333342,null,null,null
Sat Apr 11 09:00:00 UTC 2026,-1816.2433200000087,null,-1741.2833200000086,null,null,null
Sat Apr 11 10:00:00 UTC 2026,-1816.2433200000087,null,-1728.2299866666754,null,null,null
Sat Apr 11 11:00:00 UTC 2026,-1816.2433200000087,null,-1715.1766533333418,null,null,null
Sat Apr 11 12:00:00 UTC 2026,-1816.2433200000087,null,-1702.1233200000086,null,null,null
Sat Apr 11 13:00:00 UTC 2026,-1816.2433200000087,null,-1689.0699866666753,null,null,null
