date,P_Kweek_64_Kday_-55_ETE_67_ORD_66_EXT_80_E2Ekor_81_EXTkor_67_DIFF_26,a,b,c,d,e
Fri Apr 17 20:00:00 UTC 2026,304.50252999999793,null,null,null,null,null
Fri Apr 17 21:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Fri Apr 17 22:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Fri Apr 17 23:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 00:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 01:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 02:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 03:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 04:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 05:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 06:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 07:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 08:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 09:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 10:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 11:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 12:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 13:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 14:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 15:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 16:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 17:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 18:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 19:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 20:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 21:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 22:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sat Apr 18 23:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 00:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 01:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 02:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 03:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 04:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 05:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 06:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 07:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 08:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 09:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 10:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 11:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 12:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 13:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 14:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 15:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 16:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 17:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 18:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 19:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 20:00:00 UTC 2026,242.50252999999793,null,null,null,null,null
Sun Apr 19 21:00:00 UTC 2026,399.50252999999793,null,null,null,null,null
Sun Apr 19 22:00:00 UTC 2026,293.50252999999793,null,null,null,null,null
Sun Apr 19 23:00:00 UTC 2026,417.50252999999793,null,null,null,null,null
Mon Apr 20 00:00:00 UTC 2026,384.50252999999793,null,null,null,null,null
Mon Apr 20 01:00:00 UTC 2026,316.50252999999793,null,null,null,null,null
Mon Apr 20 02:00:00 UTC 2026,383.50252999999793,null,null,null,null,null
Mon Apr 20 03:00:00 UTC 2026,304.50252999999793,null,null,null,null,null
Mon Apr 20 04:00:00 UTC 2026,464.50252999999793,null,null,null,null,null
Mon Apr 20 05:00:00 UTC 2026,394.50252999999793,null,null,null,null,null
Mon Apr 20 06:00:00 UTC 2026,224.50252999999793,null,null,null,null,null
Mon Apr 20 07:00:00 UTC 2026,90.50252999999793,null,null,null,null,null
Mon Apr 20 08:00:00 UTC 2026,120.50252999999793,null,null,null,null,null
Mon Apr 20 09:00:00 UTC 2026,155.50252999999793,null,null,null,null,null
