date,P_Kweek_86_Kday_37_ETE_71_ORD_71_EXT_86_E2Ekor_85_EXTkor_70_DIFF_24,a,b,c,d,e
Thu Apr 02 04:00:00 UTC 2026,-314.8949999999895,null,null,null,null,null
Thu Apr 02 05:00:00 UTC 2026,-428.8949999999895,null,null,null,null,null
Thu Apr 02 06:00:00 UTC 2026,-494.8949999999895,null,null,null,null,null
Thu Apr 02 07:00:00 UTC 2026,-532.8949999999895,null,null,null,null,null
Thu Apr 02 08:00:00 UTC 2026,-730.8949999999895,null,null,null,null,null
Thu Apr 02 09:00:00 UTC 2026,-929.8949999999895,null,null,null,null,null
Thu Apr 02 10:00:00 UTC 2026,-960.8949999999895,null,null,null,null,null
Thu Apr 02 11:00:00 UTC 2026,-811.8949999999895,null,null,null,null,null
Thu Apr 02 12:00:00 UTC 2026,-649.8949999999895,null,null,null,null,null
Thu Apr 02 13:00:00 UTC 2026,-846.8949999999895,null,null,null,null,null
Thu Apr 02 14:00:00 UTC 2026,-766.8949999999895,null,null,null,null,null
Thu Apr 02 15:00:00 UTC 2026,-739.8949999999895,null,null,null,null,null
Thu Apr 02 16:00:00 UTC 2026,-683.8949999999895,null,null,null,null,null
Thu Apr 02 17:00:00 UTC 2026,-796.8949999999895,null,null,null,null,null
Thu Apr 02 18:00:00 UTC 2026,-774.8949999999895,null,null,null,null,null
Thu Apr 02 19:00:00 UTC 2026,-770.8949999999895,null,null,null,null,null
Thu Apr 02 20:00:00 UTC 2026,-799.8949999999895,null,null,null,null,null
Thu Apr 02 21:00:00 UTC 2026,-873.8949999999895,null,null,null,null,null
Thu Apr 02 22:00:00 UTC 2026,-634.8949999999895,null,null,null,null,null
Thu Apr 02 23:00:00 UTC 2026,-570.8949999999895,null,null,null,null,null
Fri Apr 03 00:00:00 UTC 2026,-576.8949999999895,null,null,null,null,null
Fri Apr 03 01:00:00 UTC 2026,-743.8949999999895,null,null,null,null,null
Fri Apr 03 02:00:00 UTC 2026,-647.8949999999895,null,null,null,null,null
Fri Apr 03 03:00:00 UTC 2026,-685.8949999999895,null,null,null,null,null
Fri Apr 03 04:00:00 UTC 2026,-686.8949999999895,null,null,null,null,null
Fri Apr 03 05:00:00 UTC 2026,-661.8949999999895,null,null,null,null,null
Fri Apr 03 06:00:00 UTC 2026,-724.8949999999895,null,null,null,null,null
Fri Apr 03 07:00:00 UTC 2026,-1030.8949999999895,null,null,null,null,null
Fri Apr 03 08:00:00 UTC 2026,-1023.8949999999895,null,null,null,null,null
Fri Apr 03 09:00:00 UTC 2026,-878.8949999999895,null,null,null,null,null
Fri Apr 03 10:00:00 UTC 2026,-776.8949999999895,null,null,null,null,null
Fri Apr 03 11:00:00 UTC 2026,-1137.8949999999895,null,-1037.8949999999895,null,null,null
Fri Apr 03 12:00:00 UTC 2026,-873.8949999999895,null,-1025.197631578937,null,null,null
Fri Apr 03 13:00:00 UTC 2026,-820.8949999999895,null,-1012.5002631578842,null,null,null
Fri Apr 03 14:00:00 UTC 2026,-798.8949999999895,null,-999.8028947368316,null,null,null
Fri Apr 03 15:00:00 UTC 2026,-1003.8949999999895,null,-987.105526315779,null,null,null
Fri Apr 03 16:00:00 UTC 2026,-961.8949999999895,null,-974.4081578947264,null,null,null
Fri Apr 03 17:00:00 UTC 2026,-1077.8949999999895,null,-961.7107894736737,null,null,null
Fri Apr 03 18:00:00 UTC 2026,-850.8949999999895,null,-949.0134210526211,null,null,null
Fri Apr 03 19:00:00 UTC 2026,-991.8949999999895,null,-936.3160526315685,null,null,null
Fri Apr 03 20:00:00 UTC 2026,-737.8949999999895,null,-923.6186842105158,null,null,null
Fri Apr 03 21:00:00 UTC 2026,-737.8949999999895,null,-910.9213157894633,null,null,null
Fri Apr 03 22:00:00 UTC 2026,-737.8949999999895,null,-898.2239473684106,null,null,null
Fri Apr 03 23:00:00 UTC 2026,-737.8949999999895,null,-885.526578947358,null,null,null
Sat Apr 04 00:00:00 UTC 2026,-737.8949999999895,null,-872.8292105263054,null,null,null
Sat Apr 04 01:00:00 UTC 2026,-737.8949999999895,null,-860.1318421052526,null,null,null
Sat Apr 04 02:00:00 UTC 2026,-737.8949999999895,null,-847.4344736842,null,null,null
Sat Apr 04 03:00:00 UTC 2026,-737.8949999999895,null,-834.7371052631474,null,null,null
Sat Apr 04 04:00:00 UTC 2026,-737.8949999999895,null,-822.0397368420948,null,null,null
Sat Apr 04 05:00:00 UTC 2026,-737.8949999999895,null,-809.3423684210422,null,null,null
Sat Apr 04 06:00:00 UTC 2026,-737.8949999999895,null,-796.6449999999895,null,null,null
Sat Apr 04 07:00:00 UTC 2026,-737.8949999999895,null,-783.9476315789368,null,null,null
Sat Apr 04 08:00:00 UTC 2026,-737.8949999999895,null,-771.2502631578842,null,null,null
Sat Apr 04 09:00:00 UTC 2026,-737.8949999999895,null,-758.5528947368316,null,null,null
Sat Apr 04 10:00:00 UTC 2026,-737.8949999999895,null,-745.855526315779,null,null,null
Sat Apr 04 11:00:00 UTC 2026,-737.8949999999895,null,-733.1581578947264,null,null,null
Sat Apr 04 12:00:00 UTC 2026,-737.8949999999895,null,-720.4607894736737,null,null,null
Sat Apr 04 13:00:00 UTC 2026,-737.8949999999895,null,-707.7634210526211,null,null,null
Sat Apr 04 14:00:00 UTC 2026,-737.8949999999895,null,-695.0660526315685,null,null,null
Sat Apr 04 15:00:00 UTC 2026,-737.8949999999895,null,-682.3686842105158,null,null,null
Sat Apr 04 16:00:00 UTC 2026,-737.8949999999895,null,-669.6713157894633,null,null,null
Sat Apr 04 17:00:00 UTC 2026,-737.8949999999895,null,-656.9739473684106,null,null,null
Sat Apr 04 18:00:00 UTC 2026,-737.8949999999895,null,-644.276578947358,null,null,null
Sat Apr 04 19:00:00 UTC 2026,-737.8949999999895,null,-631.5792105263054,null,null,null
Sat Apr 04 20:00:00 UTC 2026,-737.8949999999895,null,-618.8818421052526,null,null,null
Sat Apr 04 21:00:00 UTC 2026,-737.8949999999895,null,-606.1844736842,null,null,null
Sat Apr 04 22:00:00 UTC 2026,-737.8949999999895,null,-593.4871052631474,null,null,null
Sat Apr 04 23:00:00 UTC 2026,-737.8949999999895,null,-580.7897368420948,null,null,null
Sun Apr 05 00:00:00 UTC 2026,-737.8949999999895,null,-568.0923684210422,null,null,null
